STIX 사이트별 판매상위 TOP30 (2026-07-01)
============================================================

## 스마트스토어
  순위           매출액        수량  상품명
   7       272,000         8  홈데코 보석십자수) 최후의 만찬 - 대형 전체비즈(종교)
   8       255,000         7  PRYM 여행용 미니 스팀 다리미
   9       212,300         3  43-405 크로바 크로스 바 코바늘10종 세트
  10       211,500        47  안전인증 B7000 투명 다용도 접착제 치약본드 110ml
  11       196,200         9  스팃스 보석십자수 캔버스 최후의 만찬 40x50 감성 DIY 키트 집콕 취미
  12       175,250        67  마크라메/드림캐쳐 (10종택1) DIY 마크라메 공예용 메탈링 O링
  13       166,500        75  new B6000 치약본드 공예용 다용도 접착제 15ml
  14       152,600         7  스팃스 캔버스 액자형 보석십자수 77종 40x50 인테리어 소품 취미 키트
  15       120,000         2  홈데코 화원 십자수 패키지 (도안+원단+실+바늘)
  16       116,000         2  43-321 크로바 아뮤레 코바늘 8종세트 모사용 손뜨개 도구
  17       114,000         3  보석십자수) 불교 반야심경
  18       111,320        23  크로바 사시코 자수바늘
  19       110,000         2  스팃스 DMC 25번 면사 자수실 50색세트
  20       110,000         1  스팃스 DMC 자수실 25번 면사 십자수실 100색 세트
  21       108,000         4  보석십자수) 최후의 만찬 (전체비즈)
  22        91,000         2  57-550 크로바 대형 수틀 30cm
  23        90,000         2  보석십자수) 편안부귀 사군자 (매난국죽 /매화 난초 국화 대나무)
  24        87,200         4  캔버스판넬액자 보석십자수 40cmx50cm - 최후의만찬
  25        81,000         6  원단용 차코수성펜 12개세트 (4종 택1)
  26        75,600        14  57-039 clover 일본 크로바 프랑스자수 바늘세트 3~9호
  27        74,800         5  57-693 clover 일본 크로바 니들홀더 - 블루 (바늘보관함)
  28        74,100        39  스팃스 DMC 자수실 25번 면사 베리에이션 60색 (택1)
  29        69,000         7  14ct 칼라 십자수 아이다 원단 12종 1/2마 (택1)
  30        67,500        27  홈데코 2mm 펠트지 원단 14종 택1 (1|4마) 연결발송

## 11번가
  순위           매출액        수량  상품명
--------------------------------------------------------------------------------
   1       406,000         7  43-321 크로바 아뮤레 코바늘 8종세트
   2       260,000         2  57-336 크로바 New 크래프트 확대경-그레이 1.6배&2배 세트
   3       183,000        20  뾰족캡포함 e6000 투명 다용도 강력 접착제 치약본드 110ml
   4       134,000        20  보석십자수 마무리용 코팅제 광택제 120ML 보석십자수 마감제
   5       130,000         1  57-335 크로바 New 크래프트 확대경-핑크 1.6배&2배 세트
   6       117,600        12  어린이 보석십자수 액자포함 캐릭터 DIY 32종 만들기 키트 초등 취미 선물
   7       116,000         2  DMC 자수실 25번 면사 십자수실 50색 세트
   8       112,200        14  42-406 크로바 아뮤레 코바늘 - 6호
   9       112,000        20  B7000 투명 다용도 접착제 110ml 스마트폰 액정 수리 비즈 DIY 본드
  10       110,000         1  DMC 자수실 에코비타 얇은 울사 60색 풀세트
  11       102,000         3  보석십자수) 황금 부엉이 가족
  12        78,800        58  DMC 자수실 25번면사 프랑스자수 십자수실 503색 (택1)
  13        72,000         1  43-405 크로바 크로스 바 코바늘10종 세트
  14        57,500        16  원형자수틀 8cm~34cm/인테리어 프랑스자수 십자수용
  15        56,100       167  8M 면사 자수실 447색상(택1) / 프랑스자수 십자수 공예용
  16        49,500         3  홈데코 DIY 액자형 보석십자수 큐빅 비즈 구슬 캔버스형
  17        39,000       120  칼라 군번줄 악세사리 체인줄 diy
  18        39,000        34  4색/일제 수성펜 기화성 자수펜 바보펜
  19        38,000         2  12-257 가와구찌 자동 실꿰기
  20        36,000         3  스팃스 국산 구름솜 1KG DIY 인형만들기솜
  21        35,700         3  튤립 에띠모 모사용 그레이 12종 택1
  22        34,000         1  대형 최후의 만찬 보석십자수 액자 DIY 명화 인테리어 큐빅 비즈 그림
  23        30,000         3  41-612 크로바 펜-E 레이스바늘 12호
  24        30,000         1  보석십자수) 장미꽃 위 성모마리아
  25        30,000         1  스팃스 자수용 비즈 구슬 12색 세트
  26        30,000         1  꽃이 핀 정원 프린트 실 십자수 패키지 (도안+원단+실+바늘)
  27        29,400         3  42-408 크로바 아뮤레 코바늘 - 8호
  28        29,000         1  장미 실 십자수 패키지 (도안+원단+실+바늘)
  29        29,000         1  장미 꽃 화병 프린트 실 십자수 패키지 (도안+원단+실+바늘)
  30        28,000         1  아이리스 실 십자수 패키지 (도안+원단+실+바늘)

## 카페24
  순위           매출액        수량  상품명
--------------------------------------------------------------------------------
   1        95,000        25  16칸 다용도 케이스 | 비즈 보관함 자수부자재 소품 정리함
   2        75,000        10  가와구찌 올풀림 방지액 재봉 원단 올풀림 방지 수선 보수 접착제
   3        54,000         2  Sea View 십자수 패키지 DIY 세트 (도안+원단+실+바늘) 바다 풍경 자수 취미 감성 인테리
   4        52,800        48  DMC 25번 면사 자수실 505색 택1 프랑스 정품 크로스스티치 자수실
   5        50,600        11  스팃스 E6000 투명 다용도 접착제 30ml 공예용 강력 본드 치약본드
   6        45,000         6  뾰족캡 포함 E6000 투명 다용도 접착제 110ml 공예 산업용 강력 접착제
   7        42,500         5  원목 우드 타원형 수틀 가로형 13x21cm 자수틀
   8        32,500         5  E6000 투명 다용도 접착제 110ml 대용량 공예용 치약본드 강력본드
   9        31,000         1  수중세계 십자수 패키지 프린트 도안 DIY 세트 (원단+실+바늘)
  10        30,000        30  쪽가위 1개 재봉 자수 실정리 미니 가위 수예 부자재
  11        30,000         1  해변가 요트 풍경 감성 프린트 십자수 패키지 DIY 세트 (도안+원단+실+바늘)
  12        30,000         1  항해 십자수 DIY 패키지 (도안+원단+실+바늘)
  13        30,000         1  커피 십자수 DIY 패키지 카페 감성 자수 키트 (도안+원단+실+바늘)
  14        29,000         1  농장 과일 야채 십자수 패키지 (도안+원단+실+바늘) DIY 취미 자수 키트
  15        27,000         3  투명 하트 막대 보빈 케이스 자수실 정리 보관함 비즈 수납 케이스 공예 정리함
  16        26,000         1  풍차 풍경 십자수 패키지 DIY 취미 키트 (도안+원단+실+바늘)
  17        26,000         1  저택 십자수 패키지 DIY 세트 (도안+원단+실+바늘) 유럽풍 클래식 자수 취미 감성 인테리어 소품
  18        25,000         1  보석십자수 잉어와 연꽃 DIY 키트 풍수 인테리어
  19        24,300        81  8M 면사 자수실 447색상 택1 프랑스자수 컬러 수예실
  20        24,000         1  (일본자수서적) 파리의 수예점 십자수 400
  21        24,000         1  (일본자수서적) 프랑스의 자연을 수놓는 십자수
  22        24,000         1  (일본자수서적) 파리의 비스코뉴 십자수 35
  23        24,000         1  (일본자수서적) 파리의 가게 크로스 스티치 480 점
  24        24,000         1  과일 십자수 패키지 DIY(도안+원단+실+바늘) 취미 자수 키트 홈데코
  25        20,000         1  (일본서적) 입체 모티브의 십자수(오너먼트와 비스코뉴)
  26        19,500         1  (일본서적) 십자수로 즐기는 앤틱 무늬 타일
  27        19,500         1  (일본서적) 원포인트로 즐기는 십자수 패턴과 입체모티브
  28        18,000         4  B7000 강력 투명 다용도 접착제 110ml 스마트폰 액정 수리 큐빅 비즈 공예 본드
  29        18,000         1  스티치이데 특별편 - 꽃 가득한 자수도안집 (십자수편)
  30        18,000         1  (일본서적) annas의 맛있는 자수-CAFE&SWEETS
